id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
5631500400,02/25/15,180000,2,1,770,10000,1,0,0,770,0,1933,0,98028,47.7379,-122.233,2720,8062
1954400510,02/18/15,510000,3,2,1680,8080,1,0,0,1680,0,1987,0,98074,47.6168,-122.045,1800,7503
2008000270,01/15/15,291850,3,2,1060,9711,1,0,0,1060,0,1963,0,98198,47.4095,-122.315,1650,9711
2414600126,04/15/15,229500,3,1,1780,7470,1,0,0,1050,730,1960,0,98146,47.5123,-122.337,1780,8113
3793500160,03/12/2015,323000,3,3,1890,6560,2,0,0,1890,0,2003,0,98038,47.3684,-122.031,2390,7570
1736800520,04/03/2015,662500,3,3,3560,9796,1,0,0,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925
2008000270,01/15/15,291850,3,2,1060,9711,1,0,0,1060,0,1963,0,98198,47.4095,-122.315,1650,9711
2414600126,04/15/15,229500,3,1,1780,7470,1,0,0,1050,730,1960,0,98146,47.5123,-122.337,1780,8113
1175000570,03/12/2015,530000,5,2,1810,4850,1.5,0,0,1810,0,1900,0,98107,47.67,-122.394,1360,4850
9297300055,01/24/15,650000,4,3,2950,5000,2,0,3,1980,970,1979,0,98126,47.5714,-122.375,2140,4000
7983200060,04/24/15,230000,3,1,1250,9774,1,0,0,1250,0,1969,0,98003,47.3343,-122.306,1280,8850
1873100390,03/02/2015,719000,4,3,2570,7173,2,0,0,2570,0,2005,0,98052,47.7073,-122.11,2630,6026
7895500070,02/13/15,240000,4,1,1220,8075,1,0,0,890,330,1969,0,98001,47.3341,-122.282,1290,7800
8945200830,03/25/15,210490,3,1,990,8528,1,0,0,990,0,1966,0,98023,47.3066,-122.371,1228,8840
9215400105,04/28/15,450000,3,2,1250,5963,1,0,0,1250,0,1953,0,98115,47.6796,-122.301,970,5100
822039084,03/11/2015,1350000,3,3,2753,65005,1,1,2,2165,588,1953,0,98070,47.4041,-122.451,2680,72513
7231300125,02/17/15,345000,5,3,3150,9134,1,0,0,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133
3626039271,02/05/2015,585000,2,2,1980,8550,1,0,0,990,990,1981,0,98117,47.6989,-122.369,1480,6738
4217401195,03/03/2015,920000,5,3,2730,6000,1.5,0,0,2130,600,1927,0,98105,47.6571,-122.281,2730,6000
2799800710,04/07/2015,301000,3,3,2420,4750,2,0,0,2420,0,2003,0,98042,47.3663,-122.122,2690,4750
8079040320,02/23/15,430000,4,3,1850,9976,2,0,0,1850,0,1991,0,98059,47.5059,-122.149,2270,8542
1049000060,01/05/2015,325000,3,2,1260,5612,1,0,0,1260,0,1972,0,98034,47.7362,-122.179,1640,4745
3444100400,03/16/15,349000,3,2,1790,50529,1,0,0,1090,700,1965,0,98042,47.3511,-122.073,1940,50529
2391600320,04/20/15,480000,3,1,1040,5060,1,0,0,1040,0,1941,0,98116,47.5636,-122.394,890,5060
1531000030,03/23/15,720000,4,3,3450,39683,2,0,0,3450,0,2002,0,98010,47.342,-122.025,3350,39750
1523059105,01/28/15,356000,3,2,1680,8712,1,0,0,1680,0,1964,0,98059,47.4811,-122.149,1850,8797
5036300431,03/11/2015,1099880,5,3,3520,6353,2,0,0,3520,0,2001,0,98199,47.6506,-122.391,2520,6250
4168000060,02/26/15,153000,3,1,1200,10500,1,0,0,1200,0,1962,0,98023,47.322,-122.351,1350,10500
